,AID,CID,CitedAs,Locatable,CitationDetail_RG,FulltextAvailable,DOI_RG,AuthorUpload,SourcePubs,SourcePreprint,SourceRepo,SourceWebsite,SourceURl,SourceDOI,ItemClass,Copyrighted,Licensed,HCISI,PT,AU,CA,GP,Z2,TI,Z1,Z3,SO,VL,IS,BP,EP,AR,DI,PD,PY,CT,CY,SP,CL,TC
240,P240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Weber, J S; Fritz, J; Denger, A; Maletz, M; Zingel, C; Denger, D",NA,NA,NA,Synergien in der modellbasierten Antriebsstrang-und Testsystem-Entwicklung-Model-Based Systems Engineering in der industriellen Anwendung. Conference Paper,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,November,2014,NA,NA,NA,NA,1
241,P241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,NA,"Wikipedia, ResearchGate",NA,NA,NA,NA,NA,RESEARCHGATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
242,P242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Wilson, M.; Zolfaghari, P.; Griffin, C.; Lockey, D.; Tolias, C.; Verma, V.",NA,NA,NA,The future of traumatic brain injury research,NA,NA,ResearchGate,22,1,766,766,NA,NA,Dec,2014,NA,NA,NA,NA,1
243,P243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Wolpert, D. H.; Macready, W. G.",NA,NA,NA,Self-Dissimilarity: An Empirical Measure of Complexity,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,1998,NA,NA,NA,NA,1
244,P244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Xi, B. Y.; Bai, S. P.; Qi, F.",NA,NA,NA,NA,NA,NA,"Some new inequalities of Hermite-Hadamard type for (a, mi)-(s, m2)-convex functions on coordinates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
245,P245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Xiao, Y.; Wehrs, J.; Ma, H.; Al-Samman, T.; Korte-Kerzel, S.; Gken, M.; Michler, J.; Spolenak, R.; Wheeler, J.M.",NA,NA,NA,Investigation of the deformation behavior of aluminum micropillars produced by focused ion beam machining using Ga and Xe ions,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
246,P246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yang, M.; Blyth, W.",NA,NA,NA,Modeling Investment Risks and Uncertainties with Real-Options Approach,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,Jan.,2007,NA,NA,NA,NA,1
247,P247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Yin, H.; Schonhals, A.",NA,NA,NA,Broadband Dielectric Spectroscopy on Polymer Blends,NA,NA,ResearchGate,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,1
248,P248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Young, M D; Wakefield, M J; Smyth, G K; Oshlack, A",NA,NA,NA,Goseq: gene ontology testing for RNA-seq datasets,NA,NA,ResearchGate,NA,NA,1,26,NA,NA,NA,2012,NA,NA,NA,NA,2
2481,P248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Young, M D; Wakefield, M J; Smyth, G K; Oshlack, A",NA,NA,NA,Goseq: gene ontology testing for RNA-seq datasets,NA,NA,ResearchGate,NA,NA,1,26,NA,NA,NA,2012,NA,NA,NA,NA,2
249,P249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Zhang, D; Li, N; Zhou, ZH; Chen, C; Sun, L; Li, S",NA,NA,NA,iBAT: detecting anomalous taxi trajectories from GPS traces. IBAT: detecting anomalous taxi trajectories from GPS traces,NA,NA,ResearchGate,NA,NA,99,108,NA,NA,NA,2011,NA,NA,NA,NA,1
250,P250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,[Anonymous],NA,NA,NA,Assessment of referral characteristics of a sample of patients attending the secondary care units at Erbil teaching hospital,NA,NA,ResearchGate,7,2,70,6,NA,NA,NA,2011,NA,NA,NA,NA,1
251,P251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Abrate, S.",NA,NA,NA,"Vibration of belts and belt driver, Mechanism and machine theory",NA,NA,Research Gate,NA,NA,NA,NA,NA,DOI 10.1016/0094-114X(92)90064-O,"November,",1992,NA,NA,NA,NA,1
253,P252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Ardron, J. A.; Wallace, S.",NA,NA,NA,Modelling inshore rockfish habitat in British Columbia: A pilot study,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA,1
254,P253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Barua, A.; Lang, K. R.; Susarla, A.; Whinston, A B.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,1
255,P254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Belforte, P.",NA,NA,NA,NA,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
256,P255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bukenya, F.; Kiweewa, A.; Bai, L.",NA,NA,NA,A Review of Vessel Segmentation Techniques,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA,1
257,P256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Bunting, P. J.; Armston, J.; Lucas, R.; Clewley, D.",NA,NA,NA,NA,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,2-Feb,2015,NA,NA,NA,NA,1
258,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2581,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2582,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2583,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2584,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2585,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2586,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2587,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2588,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
2589,P257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burdea, Grigore C.; Jain, Abhishek; Rabin, Bryan; Pellosie, Richard; Golomb, Meredith",NA,IEEE,NA,Long-Term Hand Tele-Rehabilitation on the PlayStation 3: Benefits and Challenges,NA,NA,IEEE Engineering in Medicine and Biology Society Conference Proceedings,NA,NA,1835,1838,NA,10.1109/IEMBS.2011.6090522,2011,2011,33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS),"AUG 30-SEP 03, 2011",IEEE; Engn Med & Biol Soc (EMBS),"Boston, MA",10
259,P258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Burleson, Wayne; Clark, Shane S.; Ransford, Benjamin; Fu, Kevin",NA,NA,NA,Design Challenges for Secure Implantable Medical Devices,NA,NA,Research gate,NA,NA,NA,NA,NA,NA,January,2012,NA,NA,NA,NA,1
260,P259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Celebi, M. Emre; Kingravia, Hassan A.; Aslandogan, Y. Alp; Stoecker, William V.",NA,NA,NA,Detection of Blue-White Veil Areas in Dermoscopy Images Using Machine Learning Techniques,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,1
261,P260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Cheunta, Weerasak; Chirdchoo, Nitthita; Saelim, Kanittha",NA,NA,NA,Efficiency Improvement of an Integrated Giant Freshwater-White Prawn Farming in Thailand Using a Wireless Sensor Network,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,DECEMBER,2014,NA,NA,NA,NA,1
263,P261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Cosgrove, M.; Rhodes, B.; Scott, J.",NA,NA,NA,Ultra-low-cost Logging Anemometer for Wind Power Generation Feasibility Surveys,NA,NA,Research Gate,NA,NA,NA,NA,NA,NA,January,2007,NA,NA,NA,NA,1
264,P262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Dai, X.; Zhao, Y.; Li, M.; Fang, X.; Li, X.; Li, H.; Xu, B.",NA,NA,NA,NA,NA,NA,Research Gate,4,NA,1557,1565,NA,NA,NA,2013,NA,NA,NA,NA,1
265,P263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Das, P. C.; Chatterjee, P.; Kumar, P.; Kumar, G.; Dey, A. B.",NA,NA,NA,Prevalence and predictors of geriatric syndromes in an outpatient clinic at a tertiary care hospital of India,NA,NA,Research Gate,2,1,117,120,NA,NA,NA,2012,NA,NA,NA,NA,1
266,P264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Datcu, Dragos",NA,NA,NA,Emotion recognition using brain activity,NA,NA,research gate,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA,1
267,P265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Diels, C.; Bos, J. E.",NA,NA,NA,Self-driving carsickness,NA,NA,Research Gate,NA,NA,1,15,NA,NA,Oct.,2015,NA,NA,NA,NA,1
268,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2681,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2682,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2683,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2684,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2685,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2686,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2687,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2688,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
2689,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26810,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26811,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26812,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26813,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26814,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26815,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26816,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26817,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26818,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26819,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26820,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26821,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26822,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26823,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26824,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26825,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26826,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26827,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26828,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26829,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26830,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26831,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26832,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26833,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26834,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
26835,P266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,"Elliott, D; Smith, D",NA,NA,NA,Football stadia disasters in the United Kingdom: learning from tragedy?,NA,NA,Indust. Environ. Crisis Q.,7,NA,205,29,NA,NA,NA,1993,NA,NA,NA,NA,45
